Date,Open,High,Low,Close,Volume,Currency
2010-01-04,7.62,7.66,7.58,7.64,493728704,USD
2010-01-05,7.66,7.7,7.62,7.66,601904640,USD
2010-01-06,7.66,7.69,7.53,7.53,552158912,USD
2010-01-07,7.56,7.57,7.47,7.52,477129760,USD
2010-01-08,7.51,7.57,7.47,7.57,447876768,USD
2010-01-11,7.6,7.61,7.44,7.5,462229920,USD
2010-01-12,7.47,7.49,7.37,7.42,594459712,USD
2010-01-13,7.42,7.53,7.29,7.52,605889920,USD
2010-01-14,7.5,7.52,7.46,7.48,433154080,USD
2010-01-15,7.53,7.56,7.35,7.35,594336832,USD
2010-01-19,7.44,7.69,7.4,7.68,730007232,USD
2010-01-20,7.68,7.7,7.48,7.56,612152192,USD
2010-01-21,7.57,7.62,7.4,7.43,608154880,USD
2010-01-22,7.38,7.41,7.04,7.06,881768384,USD
2010-01-25,7.23,7.31,7.15,7.25,1065700288,USD
2010-01-26,7.36,7.63,7.23,7.35,1867111808,USD
2010-01-27,7.39,7.52,7.13,7.42,1722569856,USD
2010-01-28,7.32,7.34,7.1,7.12,1173502720,USD
2010-01-29,7.18,7.22,6.79,6.86,1245952384,USD
2010-02-01,6.87,7.0,6.83,6.95,749874432,USD
2010-02-02,7.0,7.01,6.91,6.99,698341952,USD
2010-02-03,6.97,7.15,6.94,7.12,615327680,USD
2010-02-04,7.03,7.08,6.84,6.86,757651776,USD
2010-02-05,6.88,7.0,6.82,6.98,850306240,USD
2010-02-08,6.99,7.07,6.93,6.93,478268960,USD
2010-02-09,7.01,7.05,6.96,7.01,632884736,USD
2010-02-10,7.0,7.02,6.94,6.97,370361248,USD
2010-02-11,6.96,7.13,6.93,7.1,550344192,USD
2010-02-12,7.08,7.2,6.98,7.16,655468288,USD
2010-02-16,7.21,7.27,7.2,7.26,543951616,USD
2010-02-17,7.29,7.3,7.17,7.23,436395264,USD
2010-02-18,7.2,7.28,7.18,7.25,422824864,USD
2010-02-19,7.21,7.26,7.18,7.2,415734272,USD
2010-02-22,7.23,7.23,7.11,7.16,390825056,USD
2010-02-23,7.14,7.19,6.99,7.04,575313472,USD
2010-02-24,7.08,7.19,7.07,7.17,460565952,USD
2010-02-25,7.05,7.24,7.03,7.21,665396928,USD
2010-02-26,7.23,7.33,7.21,7.31,507460736,USD
2010-03-01,7.35,7.48,7.34,7.46,550093312,USD
2010-03-02,7.5,7.53,7.42,7.46,566545152,USD
2010-03-03,7.46,7.5,7.43,7.48,372239136,USD
2010-03-04,7.47,7.53,7.45,7.53,366040096,USD
2010-03-05,7.68,7.85,7.67,7.82,899619328,USD
2010-03-08,7.86,7.86,7.79,7.82,429889376,USD
2010-03-09,7.8,8.04,7.78,7.96,920259584,USD
2010-03-10,7.99,8.05,7.97,8.03,596217152,USD
2010-03-11,8.0,8.05,7.98,8.05,405698944,USD
2010-03-12,8.12,8.13,8.06,8.09,416322912,USD
2010-03-15,8.05,8.05,7.87,7.99,493500864,USD
2010-03-16,8.01,8.03,7.95,8.02,446906976,USD
2010-03-17,8.03,8.09,7.97,8.0,450956448,USD
2010-03-18,8.0,8.04,7.95,8.02,342108800,USD
2010-03-19,8.03,8.04,7.9,7.94,559445120,USD
2010-03-22,7.87,8.07,7.86,8.03,456419008,USD
2010-03-23,8.06,8.17,8.0,8.16,602429312,USD
2010-03-24,8.13,8.22,8.13,8.19,598281536,USD
2010-03-25,8.25,8.25,8.08,8.09,543267264,USD
2010-03-26,8.18,8.28,8.16,8.25,640873152,USD
2010-03-29,8.32,8.35,8.27,8.3,540743680,USD
2010-03-30,8.45,8.48,8.37,8.42,527309824,USD
2010-03-31,8.41,8.45,8.37,8.39,430658656,USD
2010-04-01,8.48,8.53,8.31,8.43,603144576,USD
2010-04-05,8.39,8.52,8.38,8.52,684505984,USD
2010-04-06,8.51,8.58,8.46,8.55,447017184,USD
2010-04-07,8.56,8.64,8.52,8.59,628500736,USD
2010-04-08,8.59,8.63,8.5,8.57,572987072,USD
2010-04-09,8.62,8.64,8.59,8.64,334182912,USD
2010-04-12,8.65,8.68,8.64,8.65,333215680,USD
2010-04-13,8.64,8.67,8.61,8.66,306210400,USD
2010-04-14,8.76,8.78,8.72,8.77,404074624,USD
2010-04-15,8.78,8.89,8.77,8.89,376784064,USD
2010-04-16,8.88,8.97,8.73,8.84,750544640,USD
2010-04-19,8.82,8.85,8.63,8.82,566922560,USD
2010-04-20,8.88,8.9,8.68,8.74,738324672,USD
2010-04-21,9.24,9.29,9.13,9.26,982392192,USD
2010-04-22,9.22,9.53,9.15,9.52,793424064,USD
2010-04-23,9.57,9.72,9.54,9.67,796954240,USD
2010-04-26,9.71,9.73,9.58,9.62,479068512,USD
2010-04-27,9.55,9.57,9.3,9.36,709342400,USD
2010-04-28,9.4,9.43,9.16,9.34,758400640,USD
2010-04-29,9.39,9.64,9.36,9.59,558839552,USD
2010-04-30,9.62,9.66,9.32,9.32,542463232,USD
2010-05-03,9.42,9.57,9.39,9.51,454340576,USD
2010-05-04,9.39,9.4,9.17,9.24,723820032,USD
2010-05-05,9.04,9.22,8.88,9.14,883104000,USD
2010-05-06,9.07,9.22,7.12,8.79,1285860864,USD
2010-05-07,8.7,8.81,8.04,8.42,1676018816,USD
2010-05-10,8.94,9.09,8.88,9.07,984305792,USD
2010-05-11,8.99,9.28,8.95,9.16,850352064,USD
2010-05-12,9.26,9.4,9.24,9.36,654378176,USD
2010-05-13,9.4,9.46,9.16,9.23,599710720,USD
2010-05-14,9.11,9.16,8.91,9.06,759362176,USD
2010-05-17,9.1,9.15,8.85,9.08,762833792,USD
2010-05-18,9.18,9.23,8.94,9.01,782676608,USD
2010-05-19,8.91,9.03,8.74,8.87,1025726656,USD
2010-05-20,8.64,8.71,8.44,8.49,1282916224,USD
2010-05-21,8.31,8.73,8.26,8.65,1223908224,USD
2010-05-24,8.83,8.96,8.79,8.81,754246208,USD
2010-05-25,8.55,8.81,8.47,8.76,1048014464,USD
2010-05-26,8.93,9.0,8.71,8.72,850657408,USD
2010-05-27,8.95,9.07,8.9,9.05,666302016,USD
2010-05-28,9.26,9.26,9.05,9.17,815613696,USD
2010-06-01,9.27,9.5,9.25,9.32,876474432,USD
2010-06-02,9.45,9.46,9.3,9.43,688546816,USD
2010-06-03,9.47,9.48,9.3,9.4,650157888,USD
2010-06-04,9.22,9.35,9.09,9.14,758442496,USD
2010-06-07,9.22,9.26,8.95,8.96,886983040,USD
2010-06-08,9.04,9.06,8.77,8.9,1000769088,USD
2010-06-09,8.98,9.0,8.66,8.69,854629568,USD
2010-06-10,8.74,8.96,8.65,8.95,776356544,USD
2010-06-11,8.87,9.07,8.83,9.05,545760064,USD
2010-06-14,9.14,9.26,9.07,9.08,602961024,USD
2010-06-15,9.13,9.28,9.12,9.27,585073792,USD
2010-06-16,9.32,9.56,9.31,9.54,783690240,USD
2010-06-17,9.66,9.75,9.62,9.71,873461824,USD
2010-06-18,9.72,9.82,9.69,9.79,784620544,USD
2010-06-21,9.92,9.96,9.6,9.65,776490560,USD
2010-06-22,9.72,9.86,9.7,9.78,717260672,USD
2010-06-23,9.81,9.81,9.57,9.68,768455680,USD
2010-06-24,9.68,9.76,9.57,9.61,715131968,USD
2010-06-25,9.64,9.65,9.49,9.52,549941632,USD
2010-06-28,9.53,9.63,9.45,9.58,585433600,USD
2010-06-29,9.43,9.44,9.08,9.15,1133345664,USD
2010-06-30,9.17,9.21,8.93,8.98,739468992,USD
2010-07-01,9.08,9.1,8.69,8.87,1022953600,USD
2010-07-02,8.95,8.96,8.69,8.82,694498240,USD
2010-07-06,8.96,9.03,8.79,8.88,615235328,USD
